a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(N0)|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_empty)|p2_0:(prec_empty)|p0:(prec_empty)
a:(N0)|p2:(prec_empty)|p:(prec_empty)|a1:(Npos (xH))|a0:(N0)|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))|p2_0:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))|p0:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))
a:(Npos (xO (xH)))|p2:(prec_empty)|p:(prec_empty)|a1:(N0)|a0:(Npos (xH))|p3:(prec_cons (Npos (xH)) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_empty))|p2_1:(prec_empty)|p1:(prec_cons (N0) (prec_empty) (prec_empty))|p2_0:(prec_cons (N0) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))|p0:(prec_empty)
a:(Npos (xO (xH)))|p2:(prec_empty)|p:(prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (N0) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))))|a1:(Npos (xH))|a0:(Npos (xH))|p3:(prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)) (prec_empty)))|p2_1:(prec_empty)|p1:(prec_empty)|p2_0:(prec_empty)|p0:(prec_empty)
a:(Npos (xH))|p2:(prec_cons (Npos (xH)) (prec_cons (Npos (xO (xO (xH)))) (prec_cons (Npos (xH)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))))|p:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))|a1:(Npos (xO (xO (xH))))|a0:(N0)|p3:(prec_cons (N0) (prec_cons (Npos (xO (xO (xH)))) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_empty))|p2_1:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))|p1:(prec_empty)|p2_0:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))|p0:(prec_empty)
a:(Npos (xI (xO (xH))))|p2:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xI (xO (xH)))) (prec_empty) (prec_empty)) (prec_empty)) (prec_empty))|p:(prec_empty)|a1:(N0)|a0:(Npos (xO (xO (xH))))|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_empty)|p2_0:(prec_empty)|p0:(prec_empty)
a:(Npos (xO (xI (xH))))|p2:(prec_empty)|p:(prec_empty)|a1:(Npos (xO (xH)))|a0:(Npos (xI (xH)))|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_cons (Npos (xO (xI (xH)))) (prec_cons (Npos (xI (xH))) (prec_cons (Npos (xO (xO (xH)))) (prec_empty) (prec_empty)) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_cons (Npos (xH)) (prec_cons (Npos (xO (xH))) (prec_cons (Npos (xO (xO (xH)))) (prec_cons (Npos (xO (xO (xH)))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_empty)) (prec_cons (Npos (xO (xI (xH)))) (prec_empty) (prec_empty))) (prec_empty)) (prec_cons (Npos (xO (xI (xH)))) (prec_empty) (prec_cons (Npos (xO (xI (xH)))) (prec_cons (N0) (prec_empty) (prec_empty)) (prec_empty)))))|p1:(prec_cons (Npos (xO (xI (xH)))) (prec_cons (Npos (xO (xI (xH)))) (prec_cons (Npos (xH)) (prec_empty) (prec_cons (N0) (prec_cons (N0) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))) (prec_empty))) (prec_empty)) (prec_cons (Npos (xO (xI (xH)))) (prec_empty) (prec_empty)))|p2_0:(prec_cons (Npos (xH)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))))|p0:(prec_empty)
a:(N0)|p2:(prec_cons (N0) (prec_empty) (prec_empty))|p:(prec_empty)|a1:(N0)|a0:(Npos (xH))|p3:(prec_cons (N0) (prec_empty) (prec_empty))|p2_1:(prec_empty)|p1:(prec_cons (Npos (xH)) (prec_empty) (prec_empty))|p2_0:(prec_empty)|p0:(prec_empty)
a:(Npos (xH))|p2:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty)))|p:(prec_empty)|a1:(Npos (xO (xH)))|a0:(Npos (xH))|p3:(prec_empty)|p2_1:(prec_cons (Npos (xH)) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty)))|p1:(prec_cons (Npos (xH)) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty)))|p2_0:(prec_empty)|p0:(prec_empty)
a:(Npos (xI (xH)))|p2:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)))|p:(prec_cons (N0) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xO (xH))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_empty)))|a1:(N0)|a0:(Npos (xI (xH)))|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))) (prec_cons (N0) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))))|p2_0:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))|p0:(prec_cons (Npos (xO (xH))) (prec_cons (Npos (xH)) (prec_empty) (prec_cons (Npos (xH)) (prec_empty) (prec_empty))) (prec_empty))
a:(Npos (xI (xH)))|p2:(prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)))|p:(prec_cons (N0) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))) (prec_cons (Npos (xO (xH))) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty)) (prec_empty)))|a1:(N0)|a0:(Npos (xI (xH)))|p3:(prec_empty)|p2_1:(prec_empty)|p1:(prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_cons (Npos (xH)) (prec_empty) (prec_empty)) (prec_cons (Npos (xI (xH))) (prec_empty) (prec_empty))) (prec_cons (N0) (prec_empty) (prec_cons (N0) (prec_empty) (prec_empty))))|p2_0:(prec_cons (Npos (xO (xH))) (prec_empty) (prec_empty))|p0:(prec_empty)
