le (term_high t) (term_high_0 (tcons t t0)),[lemma_le_max_l_373]
le (S (taille_0 ls)) (S (Init.Nat.add (taille_0 la) (taille_0 ls))),[lemma_le_n_S_190]
le (S O) (S (term_high_0 l)),[lemma_le_n_S_86]
le (term_high_0 tl) (Nat.max (term_high t) (term_high_0 tl)),[lemma_le_max_r_106]
le (term_high u) (term_high (app a t)),[lemma_le_trans_352]
le (term_high t) (Nat.max (term_high t) (term_high_0 tl)),[lemma_le_max_l_95]
le (taille_0 ls) (Init.Nat.add (taille_0 la) (taille_0 ls)),[lemma_le_plus_r_191]
le (S O) (S (Init.Nat.add (taille_0 la) (taille_0 ls))),[lemma_le_n_S_180]
le (taille_0 la) (Init.Nat.add (taille_0 la) (taille_0 ls)),[lemma_le_plus_l_170]
le (S (taille_0 la)) (S (Init.Nat.add (taille_0 la) (taille_0 ls))),[lemma_le_n_S_169]
le (S O) (term_high (app c l)),[lemma_le_trans_84]
le (term_high_0 t0) (term_high_0 (tcons t t0)),[lemma_le_max_r_376]
le (S (term_high_0 l)) (term_high (app c l)),[lemma_high_aux_0_87]
le (term_high u) (term_high_0 t),[lemma_term_occur_1_418]
le (term_high_0 t) n,[lemma_le_S_n_420]
le (term_high u) n,[lemma_le_trans_417]
le (term_high (app a t)) (term_high (app a t)),[lemma_le_n_n_351]
le (term_high_0 t) (S ((fix term_high (t1 : term) : nat := match t1 with | app _ l => S (term_high_0 l) end with term_high_0 (l : term_list) : nat := match l with | tnil => O | tcons hd tl0 => Nat.max (term_high hd) (term_high_0 tl0) end for term_high_0) t)),[lemma_le_n_Sn_354]
le (term_high u) (term_high_0 (tcons t t0)),[lemma_le_trans_374]
prec_occur (prec_cons a0 p2_1 p2_0) a,[lemma_prec_int1_285][lemma_prec_int0_283]
not (prec_in_state (M0 prec_list) p),[lemma_in_M0_false_264]
prec_contained p0 (prec_cons a0 p2_1 p2_0),[lemma_prec_c_int1_302][lemma_prec_c_int0_300]
not (state_in_dta (M0 state) s),[lemma_in_M0_false_271]
prec_occur (prec_cons a0 p2_1 p2_0) a0,[lemma_prec_hd_282]
prec_contained p2_0 p2_0,[lemma_prec_id_316]
prec_contained p1 (prec_cons a0 p2_1 p2_0),[lemma_prec_c_int1_319][lemma_prec_c_int0_317]
prec_contained p2_0 (prec_cons a0 p2_1 p2_0),[lemma_prec_c_int1_315]
prec_contained p2_1 (prec_cons a0 p2_1 p2_0),[lemma_prec_c_int0_298]
prec_contained p2_1 p2_1,[lemma_prec_id_299]
